Currency,Rate
USD,1
AED,3.67
AFN,70.94
ALL,91.36
AMD,393.32
ANG,1.79
AOA,919.7
ARS,1068.54
AUD,1.58
AWG,1.79
AZN,1.7
BAM,1.8
BBD,2
BDT,121.55
BGN,1.8
BHD,0.376
BIF,2962.57
BMD,1
BND,1.33
BOB,6.93
BRL,5.79
BSD,1
BTN,87.01
BWP,13.67
BYN,3.22
BZD,2
CAD,1.44
CDF,2856.32
CHF,0.885
CLP,936.18
CNY,7.24
COP,4115.76
CRC,500.44
CUP,24
CVE,101.36
CZK,22.99
DJF,177.72
DKK,6.86
DOP,62.75
DZD,133.47
EGP,50.65
ERN,15
ETB,129.8
EUR,0.919
FJD,2.29
FKP,0.773
FOK,6.86
GBP,0.773
GEL,2.78
GGP,0.773
GHS,15.53
GIP,0.773
GMD,72.58
GNF,8628.72
GTQ,7.72
GYD,209.23
HKD,7.77
HNL,25.6
HRK,6.93
HTG,131.16
HUF,366.99
IDR,16350.23
ILS,3.65
IMP,0.773
INR,87.01
IQD,1310.36
IRR,41981.46
ISK,134.29
JEP,0.773
JMD,157.49
JOD,0.709
JPY,148.57
KES,129.31
KGS,87.41
KHR,4003.15
KID,1.58
KMF,452.25
KRW,1452.19
KWD,0.308
KYD,0.833
KZT,500.25
LAK,21831.49
LBP,89500
LKR,295.5
LRD,200.29
LSL,18.18
LYD,4.81
MAD,9.68
MDL,17.86
MGA,4663.77
MKD,56.83
MMK,2099.23
MNT,3456.93
MOP,8.01
MRU,39.94
MUR,45.29
MVR,15.47
MWK,1744.08
MXN,19.95
MYR,4.45
MZN,63.98
NAD,18.18
NGN,1534.04
NIO,36.83
NOK,10.65
NPR,139.22
NZD,1.74
OMR,0.384
PAB,1
PEN,3.66
PGK,4.03
PHP,57.26
PKR,280.55
PLN,3.84
PYG,7920.87
QAR,3.64
RON,4.57
RSD,107.6
RUB,85.82
RWF,1423.79
SAR,3.75
SBD,8.61
SCR,14.61
SDG,510.16
SEK,10.14
SGD,1.33
SHP,0.773
SLE,22.84
SLL,22841.17
SOS,571.46
SRD,36.59
SSP,4491.35
STN,22.52
SYP,12929.8
SZL,18.18
THB,33.61
TJS,10.92
TMT,3.5
TND,3.08
TOP,2.4
TRY,36.67
TTD,6.76
TVD,1.58
TWD,32.93
TZS,2619.26
UAH,41.54
UGX,3666
UYU,42.39
UZS,12950.61
VES,66.56
VND,25505.71
VUV,123.09
WST,2.81
XAF,603
XCD,2.7
XDR,0.75
XOF,603
XPF,109.7
YER,246.53
ZAR,18.18
ZMW,28.59
ZWL,26.67
