Currency,Rate
USD,1
JPY,148.66378914501
BGN,1.7961245293415
CZK,22.971806410139
DKK,6.8510423363027
GBP,0.77310129488475
HUF,366.86564422812
PLN,3.8316649830104
RON,4.5704839746533
SEK,10.151345394435
CHF,0.88538892460281
ISK,133.9884286895
NOK,10.671319680411
TRY,36.67747267885
AUD,1.5829736431261
BRL,5.7565433005786
CAD,1.4409955000459
CNY,7.2386812379466
HKD,7.7725227293599
IDR,16357.452474975
ILS,3.6751767839104
INR,86.936816971255
KRW,1453.6412893746
MXN,19.980806318303
MYR,4.4465056479016
NZD,1.7435026173202
PHP,57.279823675269
SGD,1.334925153825
THB,33.665166681973
ZAR,18.168059509597
EUR,0.91835797593902
